Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
1040,"221 BRINGELLY RD, LEPPINGTON NSW 2179","Bringelly Road, Leppington, Sydney, Liverpool City Council, New South Wales, 2179, Australia",-33.9502462,150.805432,BP,Not Selling U91    ,154.9
1049,"286 Maitland Road, Mayfield NSW 2304","Maitland Road, Mayfield, Newcastle, Newcastle City Council, New South Wales, 2304, Australia",-32.896958,151.7360679,BP,159.9,177.9
1060,"1389 Camden Valley Way, LEPPINGTON NSW 2179","Camden Valley Way, Leppington, Sydney, Camden Council, New South Wales, 2179, Australia",-33.9699301,150.8136866,BP,Not Selling U91    ,Not Selling P98
1069,"185 Bondi Rd, Bondi NSW 2026","Bondi Road, Bondi, Sydney, Waverley Council, Eastern Suburbs, New South Wales, 2026, Australia",-33.894698,151.2685121,BP,Not Selling U91    ,168.9
1074,"105 St. James rd., New Lambton NSW 2302","Saint James Road, New Lambton, Newcastle, Newcastle City Council, New South Wales, 2305, Australia",-32.9324299,151.7194426,BP,151.9,173.9
1091,"175 Ourimbah Road, Mosman NSW 2088","Ourimbah Road, Mosman, Sydney, Mosman Municipal Council, Lower North Shore, New South Wales, 2088, Australia",-33.8232849,151.2426746,BP,149.9,172.9
1097,"200 Paterson Road, BOLWARRA HEIGHTS NSW 2320","Paterson Road, Bolwarra Heights, Maitland City Council, New South Wales, 2320, Australia",-32.7027872,151.5824672,BP,157.9,177.9
1102,"149 Great Western Hwy, Mays Hill NSW 2145","BP, 149-151, Great Western Highway, Mays Hill, Sydney, Cumberland City Council, New South Wales, 2145, Australia",-33.81935365,150.9893232,BP,Not Selling U91    ,159.7
1103,"133-135 Gan Gan Rd, Anna Bay NSW 2316","Gan Gan Road, Anna Bay, Port Stephens Council, New South Wales, 2316, Australia",-32.777752,152.1023078,BP,149.9,170.9
1109,"38 Adam's Street, Wentworth NSW 2648","Adams Street, Sheoak Park, Wentworth, Wentworth Shire Council, New South Wales, 2648, Australia",-34.0969115,141.9149389,BP,Not Selling U91    ,156.9
1118,"1595 Mulgoa Rd, Wallacia NSW 2745","Mulgoa Road, Wallacia, Sydney, Penrith City Council, New South Wales, 2745, Australia",-33.8545988,150.6493388,BP,Not Selling U91    ,155.9
