Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
149,"9-11 Roberts Road, Greenacre NSW 2190","Roberts Road, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",-33.9019184,151.0647214,Coles Express,135.9,158.9
150,"273 Old Hume Highway, Camden NSW 2570","Old Hume Highway, Camden, Sydney, Camden Council, New South Wales, 2570, Australia",-34.0681621,150.6940641,Coles Express,145.9,168.9
152,"311 Great Western Highway, Lawson NSW 2783","Coles Express, 310-311, Great Western Highway, Lawson, Sydney, Blue Mountains City Council, New South Wales, 2783, Australia",-33.72205895,150.4258793,Coles Express,148.9,171.9
154,"179 Parramatta Road, Auburn NSW 2144","Parramatta Road, Auburn, Sydney, Cumberland City Council, New South Wales, 2144, Australia",-33.839118,151.0294569,BP,135.9,157.9
155,"74 Roberts Road, Greenacre NSW 2190","Roberts Road, Greenacre, Sydney, Canterbury-Bankstown Council, New South Wales, 2190, Australia",-33.9019184,151.0647214,Coles Express,135.9,158.9
158,"607 Canterbury Road, Belmore NSW 2192","Canterbury Road, Belmore, Sydney, Canterbury-Bankstown Council, New South Wales, 2192, Australia",-33.9222062,151.0948788,Metro Fuel,Not Selling U91    ,Not Selling P98
159,"111 Berowra Waters Rd, BEROWRA HEIGHTS NSW 2082","Berowra Waters Road, Berowra Heights, Sydney, The Council of the Shire of Hornsby, New South Wales, 2082, Australia",-33.6119713,151.1354184,BP,153.9,173.9
160,"630 Forest Road, BEXLEY NSW 2207","Forest Road, Bexley, Sydney, St George, New South Wales, 2207, Australia",-33.9430939,151.1302649,Metro Fuel,134.9,Not Selling P98
161,"963 Old Princes Hwy, Engadine NSW 2233","Old Princes Highway, Engadine, Sydney, Sutherland Shire Council, New South Wales, 2233, Australia",-34.0673439,151.0111146,BP,Not Selling U91    ,169.9
162,"928-930 King Georges Road, BLAKEHURST NSW 2221","King Georges Road, Blakehurst, Sydney, Georges River Council, St George, New South Wales, 2221, Australia",-33.9849469,151.1094933,Metro Fuel,134.5,152.5
163,"836 Forest Road, Peakhurst NSW 2100","Forest Road, Peakhurst, Sydney, Georges River Council, St George, New South Wales, 2210, Australia",-33.9592348,151.0631204,Metro Fuel,131.9,149.9
165,"50 Tweed Street, Brunswick Heads NSW 2483","Tweed Street, Brunswick Heads, Byron Shire Council, New South Wales, 2483, Australia",-28.5354733,153.5420392,BP,Not Selling U91    ,Not Selling P98
166,"210 Avoca Drive, AVOCA BEACH NSW 2251","Avoca Drive, Avoca Beach, Gosford, Central Coast Council, New South Wales, 2251, Australia",-33.4640815,151.4215887,Independent,143.9,159.9
167,"75 Camp Street, GRENFELL NSW 2810","Camp Street, Grenfell, Weddin Shire Council, New South Wales, 2810, Australia",-33.8943001,148.1575022,Metro Fuel,125.9,144.9
168,"2140 The Northern Rd, Luddenham NSW 2745","MD Signs and Designs, 2140, The Northern Road, Luddenham, Sydney, Liverpool City Council, New South Wales, 2745, Australia",-33.883302,150.6931972,Shell,135.9,153.9
169,"770 Richmond Road, Berkshire Park NSW 2765","Richmond Road, Berkshire Park, Sydney, Penrith City Council, New South Wales, 2765, Australia",-33.6706472,150.8056867,Caltex Woolworths,140.4,160.4
170,"95-97 Ramsay St, HABERFIELD NSW 2045","Ramsay Street, Haberfield, Sydney, Inner West Council, Inner West, New South Wales, 2045, Australia",-33.8732912,151.1330632,BP,147.9,168.9
171,"1443 Elizabeth Drive, Kemps Creek NSW 2178","Elizabeth Drive, Kemps Creek, Sydney, Liverpool City Council, New South Wales, 2178, Australia",-33.8807995,150.7991875,BP,129.7,149.7
173,"2 - 4 Peterborough Avenue, Lake Illawarra NSW 2528","Peterborough Avenue, Lake Illawarra, Shellharbour City Council, New South Wales, 2528, Australia",-34.5448073,150.8656311,7-Eleven,Not Selling U91    ,Not Selling P98
174,"21 Maitland Road, Hexham NSW 2322","Maitland Road, Tarro, Hexham, Newcastle City Council, New South Wales, 2322, Australia",-32.8173553,151.678852,Coles Express,159.9,182.9
177,"69-73 George St, Singleton NSW 2330","George Street, Singleton, Singleton Council, New South Wales, 2330, Australia",-32.5611096,151.1745843,Coles Express,159.9,182.9
178,"486 Londonderry Rd, LONDONDERRY NSW 2753","Londonderry Road, Londonderry, Sydney, Penrith City Council, New South Wales, 2753, Australia",-33.6302838,150.7386528,Metro Fuel,Not Selling U91    ,Not Selling P98
180,"49 Canterbury Road, BANKSTOWN NSW 2200","Canterbury Road, Bankstown, Sydney, Canterbury-Bankstown Council, New South Wales, 2200, Australia",-33.9333819,151.0395556,Speedway,131.7,149.7
181,"395 GARDENERS RD, ROSEBERY NSW 2018","Gardeners Road, Rosebery, Sydney, Council of the City of Sydney, New South Wales, 2018, Australia",-33.9231422,151.2087688,Metro Fuel,136.9,155.9
182,"9 Davies Rd, Padstow NSW 2211","Davies Road, Padstow, Sydney, Canterbury-Bankstown Council, New South Wales, 2211, Australia",-33.9540178,151.0380916,Independent,130.3,Not Selling P98
183,"735 George Street, Bligh Park NSW 2756","George Street, Bligh Park, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6333897,150.7895815,7-Eleven,140.4,158.4
184,"516 Punchbowl Rd, LAKEMBA NSW 2195","Punchbowl Road, Lakemba, Sydney, Canterbury-Bankstown Council, New South Wales, 2195, Australia",-33.9174225,151.0651028,Ampol,132.7,Not Selling P98
185,"1285-1289 Canterbury Rd, PUNCHBOWL NSW 2196","1285-1289, Canterbury Road, Punchbowl, Sydney, Canterbury-Bankstown Council, New South Wales, 2196, Australia",-33.93136955,151.0597662,Ampol,131.9,156.9
188,"1-3 CHURCH ST, PORT KEMBLA NSW 2505","Church Street, Port Kembla, Wollongong City Council, New South Wales, 2505, Australia",-34.4849082,150.9039099,Caltex,127.9,Not Selling P98
189,"196 The River Road, Revesby NSW 2212","The River Road, Revesby, Sydney, Canterbury-Bankstown Council, New South Wales, 2212, Australia",-33.9406978,151.0184281,BP,Not Selling U91    ,158.9
192,"66-70 Regent Street, CHIPPENDALE NSW 2008","66-70, Regent Street, Chippendale, Sydney, Council of the City of Sydney, New South Wales, 2008, Australia",-33.8878625,151.2017309,Budget,138.9,160.9
193,"118 Coxs Rd, North Ryde NSW 2113","118-120, Coxs Road, Centrale, North Ryde, Sydney, Council of the City of Ryde, New South Wales, 2113, Australia",-33.801488,151.130333,Independent,129.7,Not Selling P98
